No.,회계연도,추경차수,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,본예산금액(천원),추경정부안금액(천원),추경국회확정금액(천원)
"101","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","정부내부수입및기타","전입금","특별회계전입금","내부거래수입(회계간거래)","68,103,000",0,0
"102","2023","0","과학기술정보통신부","우체국예금특별회계","자본계정","관유물매각대","고정자산매각대","기계기구매각대","일반수입","50,000",0,0
"103","2023","0","과학기술정보통신부","우체국예금특별회계","자본계정","관유물매각대","재고자산매각대및유동자산","유동자산매각대","일반수입","23,000",0,0
"104","2023","0","과학기술정보통신부","우체국예금특별회계","자본계정","기업특별회계영업수입","우정사업수입","금융영업이자수입","일반수입","7,000",0,0
"105","2023","0","과학기술정보통신부","우체국예금특별회계","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","95,000",0,0
"106","2023","0","과학기술정보통신부","우체국예금특별회계","자본계정","정부내부수입및기타","전입금","계정간전입금","내부거래수입(회계내 계정간 거래)","15,122,000",0,0
"107","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","3,240,000",0,0
"108","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","변상금및위약금","변상금","일반수입","275,000",0,0
"109","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","219,000",0,0
"110","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","기업특별회계영업수입","우정사업수입","우편사업수입","일반수입","3,176,194,000",0,0
"111","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","43,600,000",0,0
"112","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","관유물대여료","건물대여료","일반수입","51,335,000",0,0
"113","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","관유물대여료","토지대여료","일반수입","1,486,000",0,0
"114","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","2,961,000",0,0
"115","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","3,269,000",0,0
"116","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","재화및용역판매수입","잡수입","기타영업외잡수익","일반수입","1,635,000",0,0
"117","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","정부내부수입및기타","예탁원금회수","기금예탁원금회수","내부거래수입(기금=>예산간거래)","380,000,000",0,0
"118","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","정부내부수입및기타","예탁이자수입","기금예탁이자수입","내부거래수입(기금=>예산간거래)","25,008,000",0,0
"119","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","정부내부수입및기타","전입금","기금전입금","내부거래수입(기금=>예산간거래)","5,320,000",0,0
"120","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","13,551,000",0,0
"121","2023","0","과학기술정보통신부","우편사업특별회계","손익계정","정부내부수입및기타","전입금","특별회계전입금","내부거래수입(회계간거래)","1,470,657,000",0,0
"122","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","건물매각대","일반수입","2,041,000",0,0
"123","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","기계기구매각대","일반수입","899,000",0,0
"124","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","10,000",0,0
"125","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","재고자산매각대및유동자산","유동자산매각대","일반수입","305,000",0,0
"126","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","토지및무형자산매각대","기타토지및무형자산매각대","일반수입","2,335,000",0,0
"127","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","토지및무형자산매각대","토지매각대","일반수입","21,076,000",0,0
"128","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","48,400,000",0,0
"129","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","7,000",0,0
"130","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","65,346,000",0,0
"131","2023","0","과학기술정보통신부","우편사업특별회계","자본계정","정부내부수입및기타","전입금","계정간전입금","내부거래수입(회계내 계정간 거래)","105,235,000",0,0
"132","2023","0","과학기술정보통신부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","65,179,000",0,0
"133","2023","0","과학기술정보통신부","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","876,000",0,0
"134","2023","0","과학기술정보통신부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","1,007,000",0,0
"135","2023","0","과학기술정보통신부","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","126,000",0,0
