No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"67","2023","고용노동부","산업재해보상보험및예방기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","161,582,000","161,582,000"
"68","2023","고용노동부","산업재해보상보험및예방기금","","재산수입","관유물대여료","건물대여료","일반수입","123,000","123,000"
"69","2023","고용노동부","산업재해보상보험및예방기금","","재산수입","관유물대여료","토지대여료","일반수입","626,000","626,000"
"70","2023","고용노동부","산업재해보상보험및예방기금","","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","7,632,000","7,632,000"
"71","2023","고용노동부","산업재해보상보험및예방기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","16,684,000","16,684,000"
"72","2023","고용노동부","산업재해보상보험및예방기금","","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","639,303,000","639,303,000"
"73","2023","고용노동부","산업재해보상보험및예방기금","","재화및용역판매수입","잡수입","기타잡수입","일반수입","12,482,000","12,482,000"
"74","2023","고용노동부","일반회계","","경상이전수입","가산금","가산금","일반수입","264,000","264,000"
"75","2023","고용노동부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","187,640,000","187,640,000"
"76","2023","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","1,072,000","1,072,000"
"77","2023","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","43,503,000","43,503,000"
"78","2023","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","91,000","91,000"
"79","2023","고용노동부","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","10,000","10,000"
"80","2023","고용노동부","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,217,000","1,217,000"
"81","2023","고용노동부","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","10,000","10,000"
"82","2023","고용노동부","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","139,000","139,000"
"83","2023","고용노동부","임금채권보장기금","","경상이전수입","가산금","가산금","일반수입","153,000","153,000"
"84","2023","고용노동부","임금채권보장기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","181,894,000","181,894,000"
"85","2023","고용노동부","임금채권보장기금","","경상이전수입","기타경상이전수입","법정부담금","일반수입","405,304,000","405,304,000"
"86","2023","고용노동부","임금채권보장기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","15,902,000","15,902,000"
"87","2023","고용노동부","임금채권보장기금","","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","1,462,000","1,462,000"
"88","2023","고용노동부","임금채권보장기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","25,204,000","25,204,000"
"89","2023","고용노동부","임금채권보장기금","","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","21,114,000","21,114,000"
"90","2023","고용노동부","장애인고용촉진및직업재활기금","","경상이전수입","가산금","가산금","일반수입","1,013,000","1,013,000"
"91","2023","고용노동부","장애인고용촉진및직업재활기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","10,784,000","10,784,000"
"92","2023","고용노동부","장애인고용촉진및직업재활기금","","경상이전수입","기타경상이전수입","법정부담금","일반수입","747,106,000","747,106,000"
"93","2023","고용노동부","장애인고용촉진및직업재활기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","3,118,000","3,118,000"
"94","2023","고용노동부","장애인고용촉진및직업재활기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000,000","1,000,000"
"95","2023","고용노동부","장애인고용촉진및직업재활기금","","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","16,165,000","16,165,000"
"96","2023","공정거래위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","415,000","415,000"
"97","2023","공정거래위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","1,543,000","1,543,000"
"98","2023","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","417,067,000","417,067,000"
"99","2023","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","2,665,000","2,665,000"
"100","2023","공정거래위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000","1,000"
"101","2023","공정거래위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,000","5,000"
"102","2023","과학기술정보통신부","과학기술진흥기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","8,029,000","8,029,000"
"103","2023","과학기술정보통신부","과학기술진흥기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","400,000","400,000"
"104","2023","과학기술정보통신부","과학기술진흥기금","","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","8,000","8,000"
"105","2023","과학기술정보통신부","과학기술진흥기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","736,000","736,000"
"106","2023","과학기술정보통신부","과학기술진흥기금","","재산수입","정부출자수입","정부출자수입","일반수입","2,725,000","2,725,000"
"107","2023","과학기술정보통신부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","9,532,000","9,532,000"
"108","2023","과학기술정보통신부","국가균형발전특별회계","지역지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","617,000","617,000"
"109","2023","과학기술정보통신부","국립과천과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","4,066,000","4,066,000"
"110","2023","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","건물대여료","일반수입","719,000","719,000"
"111","2023","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","토지대여료","일반수입","40,000","40,000"
"112","2023","과학기술정보통신부","국립과천과학관","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000","1,000"
"113","2023","과학기술정보통신부","국립과천과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","191,000","191,000"
"114","2023","과학기술정보통신부","국립중앙과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","1,750,000","1,750,000"
"115","2023","과학기술정보통신부","국립중앙과학관","손익계정","재산수입","관유물대여료","건물대여료","일반수입","155,000","155,000"
"116","2023","과학기술정보통신부","국립중앙과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","75,000","75,000"
"117","2023","과학기술정보통신부","국립중앙과학관","자본계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","2,000","2,000"
"118","2023","과학기술정보통신부","방송통신발전기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","51,235,000","51,235,000"
"119","2023","과학기술정보통신부","방송통신발전기금","","경상이전수입","기타경상이전수입","법정부담금","일반수입","993,271,000","993,271,000"
"120","2023","과학기술정보통신부","방송통신발전기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","3,639,000","3,639,000"
"121","2023","과학기술정보통신부","우체국보험특별회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","400,000","400,000"
"122","2023","과학기술정보통신부","우체국보험특별회계","","경상이전수입","변상금및위약금","위약금","일반수입","10,000","10,000"
"123","2023","과학기술정보통신부","우체국보험특별회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","50,000","50,000"
"124","2023","과학기술정보통신부","우체국보험특별회계","","재화및용역판매수입","잡수입","부가보험료","일반수입","1,040,324,000","1,040,324,000"
"125","2023","과학기술정보통신부","우체국예금특별회계","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","700,000","700,000"
"126","2023","과학기술정보통신부","우체국예금특별회계","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","10,000","10,000"
"127","2023","과학기술정보통신부","우체국예금특별회계","손익계정","기업특별회계영업수입","우정사업수입","금융영업이자수입","일반수입","2,199,500,000","2,199,500,000"
"128","2023","과학기술정보통신부","우체국예금특별회계","손익계정","기업특별회계영업수입","우정사업수입","금융영업이자외수입","일반수입","81,817,000","81,817,000"
"129","2023","과학기술정보통신부","우체국예금특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,000","5,000"
"130","2023","과학기술정보통신부","우체국예금특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","5,000","5,000"
"131","2023","과학기술정보통신부","우체국예금특별회계","손익계정","재화및용역판매수입","잡수입","기타영업외잡수익","일반수입","200,000","200,000"
"132","2023","과학기술정보통신부","우체국예금특별회계","자본계정","관유물매각대","고정자산매각대","기계기구매각대","일반수입","50,000","50,000"
"133","2023","과학기술정보통신부","우체국예금특별회계","자본계정","관유물매각대","재고자산매각대및유동자산","유동자산매각대","일반수입","23,000","23,000"
